,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Jan,17.79,20.27,16.56,17.93,19.6,18.96,18.21,17.53,26.12,17.64,25.45,26.08,27.85,28.73,33.91,22.39,18.5,26.16,30,28.02,26.92,29.41,35.19,44.61
Feb,17.31,19.46,16.25,17.75,18.82,18.49,17.43,17.1,24.46,18.11,23.18,27.3,27.63,28.11,33.78,22.67,18.5,26.07,28.82,27.6,26.78,30.21,37.03,
Mar,17.04,17.03,15.51,17.14,17.78,17.33,16.54,16.68,23.93,17.73,23.25,27.89,26.85,28.19,33.73,22.59,18.2,26.32,28.14,27.11,25.7,30.62,39.93,
Apr,16.44,16.64,15.14,16.58,16.7,16.4,15.94,16.9,22.31,17.97,24.59,25.91,25.03,30.3,32.96,21.96,18.19,26.15,27.51,27.01,24.67,30.68,41.42,
May,15.87,16.89,14.32,15.74,16.22,16,15.55,18.05,21.63,17.88,25.03,25.75,22.06,30.59,30.94,20.91,17.72,26.47,27.25,26.65,24.47,30.61,42.73,
Jun,16.53,17.72,14.2,16.04,16.46,16.21,15.44,19.26,22.15,17.72,25.22,26.13,22.04,31.07,29.75,20.07,17.25,27.15,27.62,26.5,25.53,30.21,44.65,
Jul,17.31,18.82,14.4,16.91,17.44,16.96,15.58,21.57,22.93,17.68,24.67,26.87,22.48,31.02,28.71,18.96,18.53,28.39,28.18,26.22,26.15,30.06,46.5,
Aug,18.2,19.73,15.41,18.43,18.66,18.18,16.34,24.15,23.75,18.32,24.5,27.94,24.07,33.22,27.32,18.85,19.91,30.26,28.74,25.88,26.67,30.81,47.89,
Sep,20,20.31,16.96,19.87,20.08,19.42,17.3,27.83,24.44,20.37,25.07,28.54,26.02,33.84,26.44,19.31,21.23,31.29,29.48,26.57,28.17,31.61,48.52,
Oct,20.85,19.84,18.32,21.2,20.41,19.98,17.93,29.92,23.6,22.6,25.91,28.58,28.63,34.01,25.29,20.75,24.54,32.87,30.07,27.57,29.58,33.92,50.44,
Nov,20.7,18.43,18.44,21.08,19.93,19.86,18.19,29.41,21.28,25.7,27.69,28.8,31.1,34.72,23.91,21.5,26.58,33.35,30.34,28.95,31.22,36.1,51.88,
Dec,20.36,17.14,18.31,20.6,19.39,19.15,18.14,28.09,18.59,25.77,26.49,28.68,29.84,34.35,22.78,19.9,27.11,32.69,29.74,28.79,31.11,36.45,51.89,
